name_1,name_2,prediction,token_set_ratio,label,error
general electric co,enel electrical corp,False,True,0.0,False
carnegie,carnigie carnagie,True,False,1.0,False
day enterprises,ruffday enterprises,False,True,0.0,False
wolfgang woerndl,wolfgang worndl,True,True,1.0,False
envirotest systems corp,envirotest systems,False,True,1.0,True
stu zweben,stuart h zweben,True,True,1.0,False
advocates international,pacsat international,False,True,0.0,False
ueli m maurer,ueli maurer,True,True,1.0,False
pietro g morasso,pietro morasso,True,True,1.0,False
rotary international,rsr international,False,True,0.0,False
north carolina police benevolent association,south carolina police benevolent association,False,True,0.0,False
policemens benevolent association local 249,police benevolent association local 199,False,True,0.0,False
united church of christ,shalom united church of christ,False,True,0.0,False
wiltel inc,wtl inc,False,False,0.0,False
barbara lee d,pete stark d,False,False,0.0,False
minolta corp,atrion corp,False,False,0.0,False
introduce,inctroduce,True,True,1.0,False
allstate enterprises inc,elan enterprises inc,False,True,0.0,False
pennsylvania state bar association,pennsylvania cabaret association,False,True,0.0,False
sammons communications inc,nos communications inc,False,True,0.0,False
international brotherhood of police officers,international brotherhood of police officers loc,True,True,1.0,False
alvaro graves,alvaro graves fuenzalida,True,True,1.0,False
comark inc,kirchman corp,False,False,0.0,False
withheld,witheld,True,True,1.0,False
johan j lukkien,johan lukkien,True,True,1.0,False
raul r labrador r,raul labrador r,True,True,1.0,False
altria group inc,tierra group inc,False,False,0.0,False
acquire,adquire aquire,True,False,1.0,False
earthlink inc,racelink inc,False,False,0.0,False
actionaids inc,davis pontiac inc,False,False,0.0,False
mansfield and associates inc,selman associates inc,False,True,0.0,False
warnaco inc,abornacy inc,False,True,0.0,False
knife,knive,True,True,1.0,False
belief,beleif,True,True,1.0,False
canon usa inc,canoak usa inc,False,True,0.0,False
a sima etaner uyar,sima uyar,True,True,1.0,False
conqueror,conquerer,True,True,1.0,False
david obey d,julie lassa d,False,False,0.0,False
rural education association,alaska education association,False,True,0.0,False
sepracor inc,pasco inc,False,False,0.0,False
substances,subtances,True,True,1.0,False
atx communications inc,whitman communications,False,True,0.0,False
masturbation,masterbation,True,True,1.0,False
aqueduct,aquaduct,True,True,1.0,False
national rifle association,national rifle assoc,True,True,1.0,False
carl bloom associates inc,cabellon associates inc,False,True,0.0,False
connived,conived,True,True,1.0,False
league of women voters of seattle,league of women voters of fresno,True,True,0.0,True
california psychological association,louisiana psychological association,False,True,0.0,False
hertz,hertzs,True,True,1.0,False
texas civil justice league,texas civil justic league,False,True,1.0,True
cox enterprises inc,klaxon enterprises inc,False,True,0.0,False
consistent life,inlet fitness,False,False,0.0,False
hit singles,hitsingles,True,True,1.0,False
environment america,cameron ent,False,False,0.0,False
project 21,project 92,True,True,0.0,True
transformation,transformaton,False,True,1.0,True
private management inc,palmer management inc,False,True,0.0,False
bayer corporation,raer corporation,False,True,0.0,False
unsubstantiated,unsubstanciated,True,True,1.0,False
placer miners association,lencioni associates,False,False,0.0,False
joseph d horton,joseph douglas horton,True,True,1.0,False
veterans coalition,invesco international,False,False,0.0,False
backgrounds,backrounds,True,True,1.0,False
virginia beer wholesalers association,virginia wine wholesalers association,False,True,1.0,True
hasbro inc,bama warehouses inc,False,False,0.0,False
francisco j cantu,francisco j cantu ortiz,True,True,1.0,False
aerial,aeriel,True,True,1.0,False
j refugio vallejo gutierrez,refugio vallejo,False,True,1.0,True
crane co,oscar mclane,False,False,0.0,False
american red cross,damar resources inc,False,False,0.0,False
san fransisco medical society,san francisco dental society,True,False,0.0,True
apicha inc,capa inc,False,True,0.0,False
natso inc,stratton inc,False,False,0.0,False
convertibles,convertables,True,True,1.0,False
rotary international,roland realty international,False,True,0.0,False
sim united states of america,jhony united states of america,False,True,0.0,False
grinnell corporation,wenig corporation,False,True,0.0,False
attendants,attendents,True,True,1.0,False
federal circuit bar association,care first medical association,False,False,0.0,False
cintas corp,tasco inc,False,False,0.0,False
ralf koetter,ralf kotter,True,True,1.0,False
because,becouse beccause beacuse baceause becuase becasue,True,False,1.0,False
lci international inc,epc international inc,False,True,0.0,False
american dental education association,manatee education association,False,True,0.0,False
learn,leran,True,True,1.0,False
can manufacturers institute,can manufacturing institute,False,True,1.0,True
invertebrates,invertibrates,True,True,1.0,False
uniroyal inc,culinary co inc,False,False,0.0,False
rick larsen d,rick bart r,False,False,0.0,False
cigna corporation,marginer corporation,False,True,0.0,False
doing,donig doign,True,False,1.0,False
consumer specialty products association,consumer specialty products assoc,True,True,1.0,False
call america,armac llc,False,False,0.0,False
kraco enterprises inc,ranchwood enterprises inc,False,True,0.0,False
hd vest financial services,tdc financial services,False,True,0.0,False
oregon petroleum marketers association,montana petroleum marketers association,False,True,0.0,False
commonwealth,commonweath,True,True,1.0,False
knowledgeable,knowlegeable,True,True,1.0,False
discomfort,unconfortability,False,False,1.0,True
youth law center,la conte ruth,False,True,0.0,False
american international group inc,american internatl group,False,True,1.0,True
npr inc,nypr inc,True,True,0.0,True
asarco incorporated,pamco incorporated,False,True,0.0,False
plb industries inc,gulf industries inc,False,True,0.0,False
sbc communications inc,robinson communications inc,False,True,0.0,False
keith q t zhang,q t zhang,True,True,1.0,False
aircraft,airrcraft aircaft aicraft aircrafts,True,False,1.0,False
agreement,aggreement agreeement agreemnt,True,False,1.0,False
heartland institute,methanol institute,False,False,0.0,False
brunswick corporation,nebris corporation,False,True,0.0,False
credit suisse,elsee industries inc,False,False,0.0,False
charlie y shim,charlie yong sang shim,True,True,1.0,False
donlan enterprises inc,dhl enterprises inc,False,True,0.0,False
association of american publishers,assocaition of american publishers calpac,True,True,1.0,False
justice at stake,justice real estate,False,False,0.0,False
kent nowlin construction inc,link cowen construction,False,True,0.0,False
naral pro choice new york,naral pro choice ny,False,True,1.0,True
made corporation,combe incorporated,False,False,0.0,False
natso inc,nosa inc,False,False,0.0,False
beleaguered,beleagured,True,True,1.0,False
criticizing,critizing,True,True,1.0,False
american feed industry association,mercer island education association,False,False,0.0,False
controls,controlls,True,True,1.0,False
rafael m gasca,rafael martinez gasca,True,True,1.0,False
rodney p frelinghuysen r,rodney frelinghuysen r,True,True,1.0,False
remember,remeber,True,True,1.0,False
completed the,completedthe,True,True,1.0,False
national business aircraft association,national business aircraft,True,True,1.0,False
volunteers,volonteers volounteers,True,False,1.0,False
renato keshet,renato kresch,True,True,1.0,False
darden restaurants,grandys restaurant,False,False,0.0,False
home builders association of new york,home builders association of dalton,False,True,0.0,False
independent bankers association of texas,independant bankers association of texas,False,True,1.0,True
omega sales inc,delta gases inc,False,False,0.0,False
american international group inc,american international co,False,True,1.0,True
digital microwave corp stratex networks,steven gould j s gould family llc,False,False,0.0,False
imitating,immitating,True,True,1.0,False
visa inc,vals inc,False,False,0.0,False
nationsbank co,nationsbank corp,False,True,1.0,True
ensco international inc,composite international inc,False,True,0.0,False
emc corporation,merit corporation,False,True,0.0,False
emeco inc,emc inc,False,True,0.0,False
natso inc,saxtons inc,False,False,0.0,False
abro industries inc,pro pac industries,False,True,0.0,False
liquefy,liquify,True,True,1.0,False
league of women voters,bay area league of womens vot,False,False,0.0,False
boston edison co,boss ent inc,False,False,0.0,False
novartis seeds inc,seven stars inc,False,False,0.0,False
center for national policy,center for arizona policy,True,True,0.0,True
dryas,dyas,True,True,1.0,False
moment,moent,True,True,1.0,False
attributes,atributes,True,True,1.0,False
emilio mancini,emilio pasquale mancini,True,True,1.0,False
voice for adoption,roof depot inc,False,False,0.0,False
surreptitious,surrepetitious surreptious,True,False,1.0,False
sheraton international inc,casaor international inc,False,True,0.0,False
incrementally,incramentally,True,True,1.0,False
carmelite,carmalite,True,True,1.0,False
pott industries inc,toni industries inc,False,True,0.0,False
jackson education association,paterson education association,False,True,0.0,False
national consumer finance association,tx consumer finance association,False,True,0.0,False
purportedly,purpotedly,True,True,1.0,False
maria jose casany guerrero,maria jose casan guerrero,False,True,1.0,True
arizona credit union league inc,arizona credit union league,False,True,1.0,True
dan benishek r,jim slezak r,False,False,0.0,False
obsessed,obssessed,True,True,1.0,False
pennsylvania retailers association,pennsylvania medical association,False,True,0.0,False
japanese,japanes,True,True,1.0,False
javier bravo,javier bravo agapito,True,True,1.0,False
majority,marjority majoroty,True,False,1.0,False
maine medical association,miami medical associates,False,True,0.0,False
peter j roskam r,peter roskam r,True,True,1.0,False
ohio civil liberties union,maine civil liberties union,False,True,0.0,False
criticism,critisism,True,True,1.0,False
aclu of maryland,radol lc,False,False,0.0,False
lincoln institute,rincon institute,False,True,0.0,False
celanese corporation,eneco east incorporated,False,False,0.0,False
manoel g mendonca,manoel gomes de mendonca neto,True,True,1.0,False
atx communications inc,carr communications inc,False,True,0.0,False
agilent technologies inc,title technologies inc,False,True,0.0,False
clairol inc,alticore inc,False,False,0.0,False
texas association of school administrators,pontiac association of school administrators,False,True,0.0,False
ohio council of churches,the ohio council of churches,True,True,1.0,False
ron kind d,mark pocan d,False,False,0.0,False
cemeteries,cemetaries,True,True,1.0,False
court line,country lites,True,False,0.0,True
silbond corporation,mobil corporation,False,True,0.0,False
ashland oil inc,aerial holdings inc,False,False,0.0,False
north central airlines inc,north central industries inc,False,True,0.0,False
prabir k biswas,prabir kumar biswas,True,True,1.0,False
national sudden infant death syndrome foundation,sheet metal pac of local 265,False,False,0.0,False
ctw investment group,horizon west investment group llc,False,True,0.0,False
curtis langlotz,curtis p langlotz,True,True,1.0,False
association of electronic importers,torrance police officers association,False,False,0.0,False
collaborative,collaberative,True,True,1.0,False
atx communications inc,tar heel communications inc,False,True,0.0,False
bruce braley d,pat murphy d,False,False,0.0,False
american health care association,maine health care association,False,True,0.0,False
dallas alliance,alleinad llc,False,False,0.0,False
frank k hwang,frank kwang ming hwang,True,True,1.0,False
vassals,vasalls,True,True,1.0,False
advocates in action,action sod inc,False,False,0.0,False
bureaucracy,beaurocracy,True,True,1.0,False
inhabitants,inhabitans,True,True,1.0,False
lci international inc,citslinc international inc,False,True,0.0,False
william r keating d,william keating d,True,True,1.0,False
california federation of teachers,alliance federation of teachers,False,True,0.0,False
tom rice r,mal hyman d,False,False,0.0,False
swear,swaer,True,True,1.0,False
sheraton international inc,atr international,False,True,0.0,False
millennium,milennium millenium,True,False,1.0,False
mops international,emser international,False,True,0.0,False
syngenta crop protection,sygenta crop protection,False,True,1.0,True
receiving,receving recieving,True,False,1.0,False
passengers,pasengers,True,True,1.0,False
retrieve,retreive,True,True,1.0,False
colorado womens bar association,two colorado bankers association,False,True,0.0,False
national education association,national funeral directors association,False,True,0.0,False
marathon oil company,marathon oil company committee,True,True,1.0,False
transcendent,transcendant trancendent,True,False,1.0,False
guinness,guiness,True,True,1.0,False
christine largeron,christine largeron leteno,True,True,1.0,False
abbreviated,abreviated,True,True,1.0,False
annulled,anulled annuled,True,False,1.0,False
bob mungamuru,bobji mungamuru,True,True,1.0,False
jeb hensarling r,jeb hansarling r,True,True,1.0,False
accommodating,accomadating accomodating,True,False,1.0,False
louisiana hospital association,hospital association,False,True,0.0,False
linkedin corp,kidron inc,False,False,0.0,False
technicians,techicians,True,True,1.0,False
supposing,suposing,True,True,1.0,False
safari club international,lci international,False,True,0.0,False
american dental education association,caledonia education association,False,True,0.0,False
multipliers,multiplers,True,True,1.0,False
stb enterprises inc,mestre enterprises inc,False,True,0.0,False
joan mas,joan mas romeu,True,True,1.0,False
consumer action,amyx construction,True,False,0.0,True
sea land service,lander services,False,True,0.0,False
rutgers,outrageous waters,True,False,0.0,True
terrestrial,terrestial,True,True,1.0,False
mitch weintraub,mitchel weintraub,True,True,1.0,False
national club association,national beer association,False,True,0.0,False
queensland,queenland,True,True,1.0,False
pricewaterhousecoopers,price water house coopers,False,False,1.0,True
crown,crowm,True,True,1.0,False
satiric,satric,True,True,1.0,False
emile j c kelkboom,emile kelkboom,True,True,1.0,False
prima corporation,primogenitor corp,False,False,0.0,False
mark udall d,jared polis d,False,False,0.0,False
uniroyal inc,solutionary inc,False,False,0.0,False
allen west r,adam hasner r,False,False,0.0,False
texas bankers association,texas bankers associatio,False,True,1.0,True
allstate enterprises inc,sabel enterprises in,False,False,0.0,False
s v n vishwanathan,vishy vishwanathan,True,True,1.0,False
assassination,assassintation assosication assasination,True,False,1.0,False
directly,driectly,True,True,1.0,False
cornelis h slump,kees slump,True,False,1.0,False
generally,generaly,True,True,1.0,False
potomac electric power co,potomac electric power,False,True,1.0,True
liberty mutual insurance co,liberty mutual insurance co pac texas,False,True,1.0,True
pen american center,nexen tire america inc,False,False,0.0,False
control,controll,True,True,1.0,False
forfeit,forfiet,True,True,1.0,False
inmotion inc,national millwork inc,True,False,0.0,True
bay tankers inc,rak inc,False,False,0.0,False
new jersey education association,seward education association,False,True,0.0,False
time warner,american water,False,False,0.0,False
colonnade,collonade,True,True,1.0,False
government finance officers association,blankenship ballet company,False,False,0.0,False
altria group inc,altria group inc pac,False,True,1.0,True
new york state broadcasters association,new york state bankers association,False,True,0.0,False
cetus corporation,certes corporation,False,True,0.0,False
genealogical,geneological,True,True,1.0,False
ro khanna d,ron cohen r,True,False,0.0,True
essex group inc,lexen group inc,False,True,0.0,False
disposition,dispostion,True,True,1.0,False
lexmark international,hallmark international,False,True,0.0,False
created,creaeted,True,True,1.0,False
john conyers d,john conyers jr d,True,True,1.0,False
american association of health plans,virginia association of health plans,False,True,0.0,False
comprehensive,comphrehensive,True,True,1.0,False
inherently,inherantly,True,True,1.0,False
consumer alert,mena courts,False,False,0.0,False
eva altenbernd giani,eva giani,True,True,1.0,False
national association of wheat growers,national association of realtors,False,True,0.0,False
macromedia inc,carma inc,False,False,0.0,False
reminiscent,reminescent remenicent reminscent reminsicent,True,False,1.0,False
collective,colelctive,True,True,1.0,False
libertarian party of washington,libertarian party of iowa,False,True,0.0,False
colorado bar association,calabro association,False,False,0.0,False
flourish,fluorish,True,True,1.0,False
dimensions,dimenions dimentions,True,False,1.0,False
association of louisiana electric cooperatives inc,association of illinois electric cooperatives,True,True,0.0,True
connecticut retail merchants association,ct retail merchants association inc,False,True,1.0,True
alex doboli,alexa doboli,True,True,1.0,False
eduardo casilari,eduardo casilari perez,True,True,1.0,False
infact,aftco inc,False,False,0.0,False
national royalty owners association,national notary association,False,True,0.0,False
consumer action,turner communications,False,False,0.0,False
arguments,arguements,True,True,1.0,False
peloponnesus,peloponnes,True,True,1.0,False
recreational,recrational,True,True,1.0,False
national alliance for partnerships in equity,ireland realty management,False,False,0.0,False
pacific telesis group,pacific telesis group wash,False,True,1.0,True
arizona education association,caledonia education association,False,True,0.0,False
prison law office,pirayou law offices,False,True,0.0,False
nvidia corp,diva corp,False,True,0.0,False
ohio league of savings associations,idaho league of savings association,False,True,0.0,False
arid operations inc,aero sport inc,False,False,0.0,False
magnificent,magnificient,True,True,1.0,False
baker botts,baker botts,True,True,1.0,False
summit communications inc,cummings communications,False,True,0.0,False
traffic,trafic,True,True,1.0,False
decrees,decress,True,True,1.0,False
ceremonious,cerimonious,True,True,1.0,False
judicial,juducial judical,True,False,1.0,False
ron paul r,bill flores r,False,False,0.0,False
bayer corp,bartes corp,True,True,0.0,True
unilaterally,unilatreally unilateraly,True,False,1.0,False
scenic hudson inc,second housing co inc,False,False,0.0,False
the,tghe thge teh tje tjhe,True,False,1.0,False
ldds communications inc,4c communications inc,False,True,0.0,False
typical,typcial,True,True,1.0,False
terri a sewell d,terri sewell d,True,True,1.0,False
infact,fantastic fish,False,False,0.0,False
noticeably,noticably,True,True,1.0,False
exaggerate,exagerate exagerrate,True,False,1.0,False
mcmaster communications inc,ajs communications inc,False,True,0.0,False
comparable,comprable,True,True,1.0,False
mo brooks r,mark bray i,False,False,0.0,False
bruce graham,bruce p graham,True,True,1.0,False
hearst co,hearst corp,True,True,1.0,False
tongue,tounge,True,True,1.0,False
california attorneys for criminal justice,ca attorneys for criminal justice,True,True,1.0,False
contemporary,contempory contamporary contempoary,True,False,1.0,False
inclusion international,i international inc,False,True,0.0,False
subtraction,substraction,True,True,1.0,False
athenians,atheneans,True,True,1.0,False
magnolia,magolia,True,True,1.0,False
fleetguard inc,uc aft,False,False,0.0,False
california state bar,california state naacp,False,True,0.0,False
jose m sanchiz,jose miguel sanchiz marti,True,True,1.0,False
hearst co,chart house,True,False,0.0,True
holiday,holliday,True,True,1.0,False
john boehner r,tom poetter d,False,False,0.0,False
heredity,heridity,True,True,1.0,False
aligned,alligned,True,True,1.0,False
armco incorporated,mircon incorporated,False,True,0.0,False
united employers,cf industries employees,False,False,0.0,False
confides,confids,True,True,1.0,False
american international group inc,american international group emplo,True,True,1.0,False
tig insurance company,insurance company,False,True,0.0,False
american optometric association,virginia optometric association,False,True,0.0,False
already,allready alreayd aready,True,False,1.0,False
california franchise tax board,state of california franchise tax board,False,True,1.0,True
lutheran education association,paterson education association,False,True,0.0,False
shirley a becker,shirley ann becker,True,True,1.0,False
n v vinodchandran,n variyam vinodchandran,True,True,1.0,False
intelligent,inteligent,True,True,1.0,False
avco corporation,proac corporation,False,True,0.0,False
napco international inc,cryobanks international inc,False,True,0.0,False
atx communications inc,i communications inc,False,True,0.0,False
advocates international,sea watch international,False,False,0.0,False
atlas ventures,dels restaurant,False,False,0.0,False
facilities,facilites,True,True,1.0,False
inco ltd,iton llc,False,False,0.0,False
michael d muhlbaier,michael muhlbaier,True,True,1.0,False
silbond corporation,sybron corporation,False,True,0.0,False
wants,wnats whants,True,False,1.0,False
mediciny,mediciney,True,True,1.0,False
architects,archetects,True,True,1.0,False
sepracor inc,casper co,False,False,0.0,False
mpeg la llc,m3 eagle llc,False,False,0.0,False
misdemeanors,misdemenors misdameanors,True,False,1.0,False
kraco enterprises inc,enterprise snorac inc,False,True,0.0,False
international personnel management association,international management association,False,True,1.0,True
league,leage,True,True,1.0,False
service,sevice,True,True,1.0,False
canisters,cannisters,True,True,1.0,False
pennsylvania state troopers association,maine state troopers association,False,True,0.0,False
compassion international,lampson international,False,True,0.0,False
robert hurt r,frank wolf r,False,False,0.0,False
foretelling,fortelling,True,True,1.0,False
jose a moreno perez,jose andres moreno perez,True,True,1.0,False
times publishing company,rose publishing company,False,True,0.0,False
pregnancies,pregancies,True,True,1.0,False
generate,ganerate,True,True,1.0,False
jon barwise,k jon barwise,True,True,1.0,False
american club,cumbre inc,False,False,0.0,False
oklahoma cable television association,rim wheel svc,False,False,0.0,False
pete visclosky d,peter visclosky d,True,True,1.0,False
care net,katerine inc,False,False,0.0,False
vincent t y ng,vincent to yee ng,True,True,1.0,False
xo communications inc,xo communications llc,False,True,1.0,True
stb enterprises inc,bush enterprises inc,False,True,0.0,False
inaugurated,inagurated,True,True,1.0,False
altogether,alltogether,True,True,1.0,False
nsilco broadcasting corporation,sc coatings corporation,False,True,0.0,False
action apartment association,san antonio apartment association,False,True,0.0,False
disappearing,dissapearing,True,True,1.0,False
ernest w tollner,ernest william tollner,True,True,1.0,False
peninsular,penisular penninsular,True,False,1.0,False
fanaticism,fanatism,False,True,1.0,True
richard e neal d,richard neal d,True,True,1.0,False
naral pro choice new jersey,naral pro choice new jersey,False,True,1.0,True
public lands council,lulun oil inc,False,False,0.0,False
treehouse farms inc,petersen farms inc,False,True,0.0,False
